date,name,cum_return
2021-01-04,SPXTR,-1.470226243
2021-01-05,SPXTR,-0.760501846
2021-01-06,SPXTR,-0.192284148
2021-01-07,SPXTR,1.31132118
2021-01-08,SPXTR,1.88069877
2021-01-11,SPXTR,1.212730448
2021-01-12,SPXTR,1.254873153
2021-01-13,SPXTR,1.487237977
2021-01-14,SPXTR,1.118006019
2021-01-15,SPXTR,0.392300901
2021-01-18,SPXTR,0.392300901
2021-01-19,SPXTR,1.212988201
2021-01-20,SPXTR,2.623544498
2021-01-21,SPXTR,2.664656189
2021-01-22,SPXTR,2.356511821
2021-01-25,SPXTR,2.726645918
2021-01-26,SPXTR,2.57431357
2021-01-27,SPXTR,-0.059412193
2021-01-28,SPXTR,0.926237378
2021-01-29,SPXTR,-1.009620651
2021-02-01,SPXTR,0.579429978
2021-02-02,SPXTR,1.978516242
2021-02-03,SPXTR,2.081359908
2021-02-04,SPXTR,3.19962368
2021-02-05,SPXTR,3.612673742
2021-02-08,SPXTR,4.381552579
2021-02-09,SPXTR,4.2832196
2021-02-10,SPXTR,4.249840515
2021-02-11,SPXTR,4.444186691
2021-02-12,SPXTR,4.94165104
2021-02-15,SPXTR,4.94165104
2021-02-16,SPXTR,4.894868771
2021-02-17,SPXTR,4.878372544
2021-02-18,SPXTR,4.41905572
2021-02-19,SPXTR,4.231411136
2021-02-22,SPXTR,3.434050533
2021-02-23,SPXTR,3.566149226
2021-02-24,SPXTR,4.743051931
2021-02-25,SPXTR,2.193611578
2021-02-26,SPXTR,1.719989432
2021-03-01,SPXTR,4.142486162
2021-03-02,SPXTR,3.301694085
2021-03-03,SPXTR,1.957122697
2021-03-04,SPXTR,0.607009608
2021-03-05,SPXTR,2.572767049
2021-03-08,SPXTR,2.02413862
2021-03-09,SPXTR,3.477739759
2021-03-10,SPXTR,4.107302802
2021-03-11,SPXTR,5.196698177
2021-03-12,SPXTR,5.329699008
2021-03-15,SPXTR,6.018158738
2021-03-16,SPXTR,5.854614111
2021-03-17,SPXTR,6.16030982
2021-03-18,SPXTR,4.598581067
2021-03-19,SPXTR,4.54651485
2021-03-22,SPXTR,5.281241341
2021-03-23,SPXTR,4.478210159
2021-03-24,SPXTR,3.913343257
2021-03-25,SPXTR,4.461198425
2021-03-26,SPXTR,6.199359482
2021-03-29,SPXTR,6.107341465
2021-03-30,SPXTR,5.783345254
2021-03-31,SPXTR,6.174872895
2021-04-01,SPXTR,7.430519309
2021-04-02,SPXTR,7.430519309
2021-04-05,SPXTR,8.996243242
2021-04-06,SPXTR,8.894946097
2021-04-07,SPXTR,9.05784634
2021-04-08,SPXTR,9.54332515
2021-04-09,SPXTR,10.390303311
2021-04-12,SPXTR,10.370456288
2021-04-13,SPXTR,10.734146546
2021-04-14,SPXTR,10.294805622
2021-04-15,SPXTR,11.520810377
2021-04-16,SPXTR,11.923163667
2021-04-19,SPXTR,11.329170614
2021-04-20,SPXTR,10.575628113
2021-04-21,SPXTR,11.604709157
2021-04-22,SPXTR,10.585680502
2021-04-23,SPXTR,11.798024319
2021-04-26,SPXTR,11.997267812
2021-04-27,SPXTR,11.973941116
2021-04-28,SPXTR,11.880118824
2021-04-29,SPXTR,12.642811576
2021-04-30,SPXTR,11.841326915
2021-05-03,SPXTR,12.148826899
2021-05-04,SPXTR,11.399923963
2021-05-05,SPXTR,11.478925425
2021-05-06,SPXTR,12.406838202
2021-05-07,SPXTR,13.254589624
2021-05-10,SPXTR,12.074980507
2021-05-11,SPXTR,11.104409519
2021-05-12,SPXTR,8.736427665
2021-05-13,SPXTR,10.078679271
2021-05-14,SPXTR,11.729590752
2021-05-17,SPXTR,11.447092862
2021-05-18,SPXTR,10.511576356
2021-05-19,SPXTR,10.201885467
2021-05-20,SPXTR,11.375050745
2021-05-21,SPXTR,11.292182979
2021-05-24,SPXTR,12.406322695
2021-05-25,SPXTR,12.169060553
2021-05-26,SPXTR,12.381062847
2021-05-27,SPXTR,12.521925161
2021-05-28,SPXTR,12.622449045
2021-05-31,SPXTR,12.622449045
2021-06-01,SPXTR,12.570511705
2021-06-02,SPXTR,12.745268611
2021-06-03,SPXTR,12.354385354
2021-06-04,SPXTR,13.348154162
2021-06-07,SPXTR,13.260517956
2021-06-08,SPXTR,13.282684761
2021-06-09,SPXTR,13.080477102
2021-06-10,SPXTR,13.612093797
2021-06-11,SPXTR,13.836081631
2021-06-14,SPXTR,14.07102399
2021-06-15,SPXTR,13.845618512
2021-06-16,SPXTR,13.233453833
2021-06-17,SPXTR,13.187058194
2021-06-18,SPXTR,11.70729507
2021-06-21,SPXTR,13.276498676
2021-06-22,SPXTR,13.856959668
2021-06-23,SPXTR,13.733882348
2021-06-24,SPXTR,14.40468596
2021-06-25,SPXTR,14.78783661
2021-06-28,SPXTR,15.053451642
2021-06-29,SPXTR,15.095594347
2021-06-30,SPXTR,15.251664121
2021-07-01,SPXTR,15.861251265
2021-07-02,SPXTR,16.745088184
2021-07-05,SPXTR,16.745088184
2021-07-06,SPXTR,16.514398758
2021-07-07,SPXTR,16.905926398
2021-07-08,SPXTR,15.928009434
2021-07-09,SPXTR,17.237139709
2021-07-12,SPXTR,17.641555027
2021-07-13,SPXTR,17.228247211
2021-07-14,SPXTR,17.379033038
2021-07-15,SPXTR,16.998588799
2021-07-16,SPXTR,16.116556155
2021-07-19,SPXTR,14.275938062
2021-07-20,SPXTR,16.011908214
2021-07-21,SPXTR,16.968173881
2021-07-22,SPXTR,17.212781998
2021-07-23,SPXTR,18.407340821
2021-07-26,SPXTR,18.690740848
2021-07-27,SPXTR,18.131931154
2021-07-28,SPXTR,18.110666486
2021-07-29,SPXTR,18.621405143
2021-07-30,SPXTR,17.989393441
2021-08-02,SPXTR,17.772236076
2021-08-03,SPXTR,18.738683008
2021-08-04,SPXTR,18.189796826
2021-08-05,SPXTR,18.90802709
2021-08-06,SPXTR,19.121189275
2021-08-09,SPXTR,19.018345609
2021-08-10,SPXTR,19.136525611
2021-08-11,SPXTR,19.435261974
2021-08-12,SPXTR,19.819314762
2021-08-13,SPXTR,20.016625104
2021-08-16,SPXTR,20.334564107
2021-08-17,SPXTR,19.492354385
2021-08-18,SPXTR,18.230650763
2021-08-19,SPXTR,18.387107167
2021-08-20,SPXTR,19.356776019
2021-08-23,SPXTR,20.384954925
2021-08-24,SPXTR,20.565640163
2021-08-25,SPXTR,20.834863745
2021-08-26,SPXTR,20.135578367
2021-08-27,SPXTR,21.197651865
2021-08-30,SPXTR,21.727206531
2021-08-31,SPXTR,21.576936212
2021-09-01,SPXTR,21.622945221
2021-09-02,SPXTR,21.987924246
2021-09-03,SPXTR,21.950163351
2021-09-06,SPXTR,21.950163351
2021-09-07,SPXTR,21.539561948
2021-09-08,SPXTR,21.383492174
2021-09-09,SPXTR,20.834734868
2021-09-10,SPXTR,19.907337599
2021-09-13,SPXTR,20.181329622
2021-09-14,SPXTR,19.520191769
2021-09-15,SPXTR,20.536256259
2021-09-16,SPXTR,20.352993485
2021-09-17,SPXTR,19.257025395
2021-09-20,SPXTR,17.233015652
2021-09-21,SPXTR,17.14318854
2021-09-22,SPXTR,18.25835927
2021-09-23,SPXTR,19.698170594
2021-09-24,SPXTR,19.874602898
2021-01-04,PORTFOLIO,0.776450451
2021-01-05,PORTFOLIO,2.385084314
2021-01-06,PORTFOLIO,5.630165596
2021-01-07,PORTFOLIO,4.724913259
2021-01-08,PORTFOLIO,6.688823475
2021-01-11,PORTFOLIO,5.374258511
2021-01-12,PORTFOLIO,5.166574643
2021-01-13,PORTFOLIO,4.902048796
2021-01-14,PORTFOLIO,4.687272909
2021-01-15,PORTFOLIO,4.064689442
2021-01-18,PORTFOLIO,5.198031578
2021-01-19,PORTFOLIO,5.469354173
2021-01-20,PORTFOLIO,5.326247754
2021-01-21,PORTFOLIO,5.325987414
2021-01-22,PORTFOLIO,4.183643707
2021-01-25,PORTFOLIO,5.422711253
2021-01-26,PORTFOLIO,4.903156226
2021-01-27,PORTFOLIO,6.209737003
2021-01-28,PORTFOLIO,5.037956387
2021-01-29,PORTFOLIO,4.753678352
2021-02-01,PORTFOLIO,5.035738056
2021-02-02,PORTFOLIO,4.621704498
2021-02-03,PORTFOLIO,4.424993662
2021-02-04,PORTFOLIO,4.455894312
2021-02-05,PORTFOLIO,4.059825083
2021-02-08,PORTFOLIO,4.337612566
2021-02-09,PORTFOLIO,3.880420966
2021-02-10,PORTFOLIO,4.52581303
2021-02-11,PORTFOLIO,4.562512799
2021-02-12,PORTFOLIO,4.633522233
2021-02-15,PORTFOLIO,4.583722773
2021-02-16,PORTFOLIO,4.91203401
2021-02-17,PORTFOLIO,7.800512242
2021-02-18,PORTFOLIO,5.388588767
2021-02-19,PORTFOLIO,6.326343973
2021-02-22,PORTFOLIO,7.397832793
2021-02-23,PORTFOLIO,11.731661992
2021-02-24,PORTFOLIO,19.50614646
2021-02-25,PORTFOLIO,16.416615563
2021-02-26,PORTFOLIO,19.070220821
2021-03-01,PORTFOLIO,22.737446167
2021-03-02,PORTFOLIO,27.520211648
2021-03-03,PORTFOLIO,25.996531658
2021-03-04,PORTFOLIO,26.699324664
2021-03-05,PORTFOLIO,23.45036894
2021-03-08,PORTFOLIO,21.734636013
2021-03-09,PORTFOLIO,19.465246256
2021-03-10,PORTFOLIO,19.951382367
2021-03-11,PORTFOLIO,21.610903583
2021-03-12,PORTFOLIO,23.738360235
2021-03-15,PORTFOLIO,22.854496085
2021-03-16,PORTFOLIO,23.702200194
2021-03-17,PORTFOLIO,21.535385442
2021-03-18,PORTFOLIO,21.666940991
2021-03-19,PORTFOLIO,22.326204429
2021-03-22,PORTFOLIO,21.620485684
2021-03-23,PORTFOLIO,26.566136015
2021-03-24,PORTFOLIO,24.934163187
2021-03-25,PORTFOLIO,25.819501972
2021-03-26,PORTFOLIO,25.307444951
2021-03-29,PORTFOLIO,29.056367547
2021-03-30,PORTFOLIO,28.97113966
2021-03-31,PORTFOLIO,27.781628345
2021-04-01,PORTFOLIO,26.790129366
2021-04-02,PORTFOLIO,26.90611011
2021-04-05,PORTFOLIO,26.475164755
2021-04-06,PORTFOLIO,25.938398207
2021-04-07,PORTFOLIO,26.95062285
2021-04-08,PORTFOLIO,27.813165743
2021-04-09,PORTFOLIO,27.597885959
2021-04-12,PORTFOLIO,28.715901407
2021-04-13,PORTFOLIO,28.328666314
2021-04-14,PORTFOLIO,30.635013003
2021-04-15,PORTFOLIO,30.958092851
2021-04-16,PORTFOLIO,32.869334246
2021-04-19,PORTFOLIO,34.903691608
2021-04-20,PORTFOLIO,34.724104373
2021-04-21,PORTFOLIO,35.750604898
2021-04-22,PORTFOLIO,41.613564798
2021-04-23,PORTFOLIO,40.850102446
2021-04-26,PORTFOLIO,45.625316661
2021-04-27,PORTFOLIO,49.661928119
2021-04-28,PORTFOLIO,48.992171562
2021-04-29,PORTFOLIO,45.514266053
2021-04-30,PORTFOLIO,49.455284233
2021-05-03,PORTFOLIO,43.368357625
2021-05-04,PORTFOLIO,46.895901429
2021-05-05,PORTFOLIO,49.950446686
2021-05-06,PORTFOLIO,49.399656581
2021-05-07,PORTFOLIO,46.187915157
2021-05-10,PORTFOLIO,38.280570154
2021-05-11,PORTFOLIO,37.513828375
2021-05-12,PORTFOLIO,41.083070125
2021-05-13,PORTFOLIO,37.974269165
2021-05-14,PORTFOLIO,37.79193621
2021-05-17,PORTFOLIO,40.021089485
2021-05-18,PORTFOLIO,37.443204639
2021-05-19,PORTFOLIO,37.793895926
2021-05-20,PORTFOLIO,37.850307382
2021-05-21,PORTFOLIO,39.900876874
2021-05-24,PORTFOLIO,41.029471676
2021-05-25,PORTFOLIO,40.401251009
2021-05-26,PORTFOLIO,41.843104923
2021-05-27,PORTFOLIO,45.458548028
2021-05-28,PORTFOLIO,48.456942185
2021-05-31,PORTFOLIO,48.400845556
2021-06-01,PORTFOLIO,48.001337436
2021-06-02,PORTFOLIO,49.787819169
2021-06-03,PORTFOLIO,50.355039165
2021-06-04,PORTFOLIO,50.000659103
2021-06-07,PORTFOLIO,50.367033273
2021-06-08,PORTFOLIO,50.14249832
2021-06-09,PORTFOLIO,50.430967543
2021-06-10,PORTFOLIO,50.409950284
2021-06-11,PORTFOLIO,51.111556061
2021-06-14,PORTFOLIO,51.001967094
2021-06-15,PORTFOLIO,50.944863245
2021-06-16,PORTFOLIO,52.401791077
2021-06-17,PORTFOLIO,52.120212948
2021-06-18,PORTFOLIO,54.343429064
2021-06-21,PORTFOLIO,53.791569308
2021-06-22,PORTFOLIO,60.041289583
2021-06-23,PORTFOLIO,61.227290976
2021-06-24,PORTFOLIO,50.098905028
2021-06-25,PORTFOLIO,59.54872593
2021-06-28,PORTFOLIO,60.437178084
2021-06-29,PORTFOLIO,60.609297624
2021-06-30,PORTFOLIO,61.156035124
2021-07-01,PORTFOLIO,61.231947395
2021-07-02,PORTFOLIO,61.067788761
2021-07-05,PORTFOLIO,61.057187859
2021-07-06,PORTFOLIO,61.248666677
2021-07-07,PORTFOLIO,61.86442201
2021-07-08,PORTFOLIO,61.392428572
2021-07-09,PORTFOLIO,62.225362171
2021-07-12,PORTFOLIO,62.436486232
2021-07-13,PORTFOLIO,63.350414863
2021-07-14,PORTFOLIO,60.349957085
2021-07-15,PORTFOLIO,62.982106056
2021-07-16,PORTFOLIO,62.471780251
2021-07-19,PORTFOLIO,61.391683426
2021-07-20,PORTFOLIO,58.94450662
2021-07-21,PORTFOLIO,58.094936278
2021-07-22,PORTFOLIO,60.267986831
2021-07-23,PORTFOLIO,59.2712574
2021-07-26,PORTFOLIO,58.087647489
2021-07-27,PORTFOLIO,56.480801412
2021-07-28,PORTFOLIO,56.964253736
2021-07-29,PORTFOLIO,57.059120257
2021-07-30,PORTFOLIO,57.084523177
2021-08-02,PORTFOLIO,57.262354384
2021-08-03,PORTFOLIO,57.911582414
2021-08-04,PORTFOLIO,58.354763112
2021-08-05,PORTFOLIO,57.220625426
2021-08-06,PORTFOLIO,57.543004049
2021-08-09,PORTFOLIO,57.282848058
2021-08-10,PORTFOLIO,56.544570011
2021-08-11,PORTFOLIO,57.478833132
2021-08-12,PORTFOLIO,56.097674978
2021-08-13,PORTFOLIO,55.623558147
2021-08-16,PORTFOLIO,54.767148504
2021-08-17,PORTFOLIO,54.406996093
2021-08-18,PORTFOLIO,53.61026356
2021-08-19,PORTFOLIO,50.11590201
2021-08-20,PORTFOLIO,52.061122612
2021-08-23,PORTFOLIO,51.081103688
2021-08-24,PORTFOLIO,52.052024548
2021-08-25,PORTFOLIO,51.711303133
2021-08-26,PORTFOLIO,51.146473531
2021-08-27,PORTFOLIO,47.913624732
2021-08-30,PORTFOLIO,48.040530223
2021-08-31,PORTFOLIO,50.362603156
2021-09-01,PORTFOLIO,49.269670836
2021-09-02,PORTFOLIO,52.664859974
2021-09-03,PORTFOLIO,48.119725516
2021-09-06,PORTFOLIO,49.219803098
2021-09-07,PORTFOLIO,52.713227985
2021-09-08,PORTFOLIO,52.059649507
2021-09-09,PORTFOLIO,48.697157921
2021-09-10,PORTFOLIO,51.116875275
2021-09-13,PORTFOLIO,48.773914826
2021-09-14,PORTFOLIO,53.073011023
2021-09-15,PORTFOLIO,52.740526122
2021-09-16,PORTFOLIO,47.581767156
2021-09-17,PORTFOLIO,49.729433089
2021-09-20,PORTFOLIO,46.652384467
2021-09-21,PORTFOLIO,48.267004171
2021-09-22,PORTFOLIO,54.433194266
2021-09-23,PORTFOLIO,52.450162154
2021-09-24,PORTFOLIO,52.581715355
